,index,userid,age,dob_day,dob_year,dob_month,gender,tenure,friend_count,friendships_initiated,likes,likes_received,mobile_likes,mobile_likes_received,www_likes,www_likes_received
0,58594,1240616,48,11,1965,2,female,806.0,114,72,10,5,8,4,2,1
1,37176,1137097,33,10,1980,9,female,413.0,52,34,44,43,44,43,0,0
2,29997,1098001,28,11,1985,9,male,67.0,39,35,86,53,82,41,4,12
3,70752,1146317,91,22,1922,2,male,817.0,181,158,47,67,47,56,0,11
4,9934,1790978,51,17,1962,7,male,257.0,10,7,0,0,0,0,0,0
5,42036,2168376,18,3,1995,11,male,693.0,62,37,40,10,6,2,34,8
6,72655,1568501,21,22,1992,8,female,506.0,191,87,29,49,11,37,18,12
7,62729,1045011,53,3,1960,2,female,925.0,131,84,22,8,22,6,0,2
8,37717,1379418,28,2,1985,2,male,396.0,54,52,3,0,3,0,0,0
9,49166,1612719,26,6,1987,11,female,50.0,81,56,226,690,102,178,124,512
10,33938,1337509,23,8,1990,6,male,505.0,47,22,6,2,6,2,0,0
11,86921,1587836,19,24,1994,5,male,136.0,372,352,403,359,245,141,158,218
12,24522,1720597,19,15,1994,1,male,1134.0,31,8,0,0,0,0,0,0
13,83068,1019795,23,5,1990,3,female,312.0,292,188,935,353,919,279,16,74
14,36522,1250740,22,29,1991,7,male,162.0,53,40,0,6,0,1,0,5
15,84474,2123890,15,1,1998,8,female,316.0,324,136,19,19,19,16,0,3
16,97849,1420221,19,18,1994,10,female,608.0,1441,604,1606,1104,1548,952,58,152
17,4484,2123069,28,2,1985,5,male,625.0,2,1,1,0,0,0,1,0
18,12502,1423838,38,30,1975,7,male,228.0,13,9,0,0,0,0,0,0
19,96390,1704701,18,30,1995,1,male,642.0,1126,444,113,143,0,33,113,110
20,32055,1861393,18,15,1995,8,male,112.0,43,39,26,11,3,1,23,10
21,27241,1928149,27,8,1986,6,male,289.0,35,19,11,4,0,1,11,3
22,4387,1722470,53,19,1960,2,female,75.0,2,2,0,0,0,0,0,0
23,47728,1972903,23,10,1990,1,female,234.0,78,46,3,0,0,0,3,0
24,23052,1801445,39,1,1974,4,male,202.0,28,23,76,38,76,28,0,10
25,65745,2026822,108,14,1905,7,male,479.0,147,108,29,17,29,14,0,3
26,64131,1691727,95,30,1918,12,male,381.0,135,97,398,624,2,332,396,292
27,68095,1131008,38,3,1975,8,female,969.0,162,62,429,222,74,144,355,78
28,76674,1159292,16,8,1997,7,male,1051.0,225,135,40,10,4,1,36,9
29,37369,1013012,54,2,1959,1,male,1090.0,52,37,296,99,3,4,293,95
30,812,1162568,27,24,1986,3,male,3.0,0,0,0,0,0,0,0,0
31,85453,2038983,83,2,1930,8,male,1525.0,340,188,18,23,18,22,0,1
32,48998,2037391,48,29,1965,9,female,439.0,80,40,64,10,64,8,0,2
33,59365,1980424,109,16,1904,3,male,1610.0,120,34,0,157,0,88,0,69
34,64895,1719264,22,6,1991,2,male,182.0,142,87,97,39,78,35,19,4
35,30623,1803495,21,25,1992,6,male,833.0,41,19,5,1,0,0,5,1
36,94143,1195569,29,10,1984,5,male,892.0,779,686,2,8,2,8,0,0
37,78654,1069686,14,6,1999,4,female,543.0,245,76,43,90,18,19,25,71
38,67779,2057864,108,14,1905,10,female,2339.0,158,53,46,4,1,3,45,1
39,14303,1862143,19,4,1994,4,male,47.0,16,11,0,13,0,10,0,3
40,71386,2088342,24,29,1989,4,male,594.0,183,125,3,7,3,4,0,3
41,77177,1435018,20,10,1993,9,female,670.0,231,158,0,1,0,0,0,1
42,95851,1375876,20,29,1993,1,female,1096.0,886,510,1055,903,417,497,638,406
43,52342,1784780,29,27,1984,12,male,287.0,92,54,0,1,0,1,0,0
44,5402,1844940,30,1,1983,1,male,1349.0,3,1,1,0,0,0,1,0
45,2411,1695153,25,1,1988,1,male,18.0,1,1,0,0,0,0,0,0
46,3653,1621195,45,1,1968,5,male,648.0,1,1,24,5,22,1,2,4
47,73158,1720138,18,29,1995,9,male,454.0,202,75,0,0,0,0,0,0
48,56709,1161586,110,23,1903,2,female,2232.0,105,30,12,85,12,33,0,52
49,88418,1084227,108,26,1905,3,male,1786.0,415,334,18,1,18,0,0,1
50,59149,1623216,27,19,1986,1,female,346.0,114,77,795,561,795,207,0,354
51,75865,2124779,17,30,1996,1,male,876.0,217,156,111,94,42,19,69,75
52,805,1576850,27,1,1986,1,male,91.0,0,0,0,0,0,0,0,0
53,77100,2175931,16,8,1997,9,female,155.0,222,107,1206,425,837,297,369,128
54,28645,1862611,20,2,1993,7,female,352.0,38,15,1,0,1,0,0,0
55,50513,1095220,39,29,1974,5,male,304.0,87,59,1,0,1,0,0,0
