,index,userid,age,dob_day,dob_year,dob_month,gender,tenure,friend_count,friendships_initiated,likes,likes_received,mobile_likes,mobile_likes_received,www_likes,www_likes_received,viable_candidate
0,53460,1576816,21,5,1992,4,female,603.0,95,18,2,3,2,2,0,1,1
1,276,1908036,19,5,1994,4,male,2.0,0,0,0,0,0,0,0,0,0
2,53436,1710170,14,5,1999,2,male,82.0,96,88,2,0,2,0,0,0,1
3,59694,2015007,17,26,1996,7,male,224.0,117,96,12,7,12,7,0,0,0
4,66082,1189104,20,26,1993,7,male,90.0,148,132,247,25,243,15,4,10,1
5,31476,1299479,63,27,1950,11,male,646.0,43,14,0,0,0,0,0,0,1
6,27658,2034819,65,2,1948,1,female,309.0,35,30,496,15,493,12,3,3,0
7,34487,1070449,18,18,1995,12,male,85.0,48,36,0,0,0,0,0,0,1
8,27572,2099233,59,26,1954,12,female,1752.0,35,6,114,87,0,49,114,38,1
9,33004,2039556,50,2,1963,9,male,393.0,45,33,13,0,11,0,2,0,1
10,46575,1423692,44,1,1969,5,male,873.0,75,29,1,1,1,1,0,0,0
11,36765,1146592,102,1,1911,1,female,1845.0,52,11,2,5,1,3,1,2,1
12,42467,1568736,16,30,1997,12,female,188.0,66,36,0,1,0,0,0,1,0
13,6215,1958889,16,7,1997,3,male,534.0,4,3,1,0,1,0,0,0,1
14,24338,1928117,57,28,1956,8,female,207.0,29,19,74,31,74,29,0,2,0
15,87699,1820758,23,9,1990,2,female,1435.0,385,257,110,69,106,38,4,31,0
16,84019,1746941,14,8,1999,4,female,131.0,310,212,572,386,392,174,180,212,0
17,51558,1166612,21,22,1992,2,male,117.0,88,86,3,7,3,6,0,1,1
18,5748,1148642,26,24,1987,1,male,60.0,3,2,342,0,342,0,0,0,1
19,20408,1377994,49,25,1964,3,male,134.0,24,17,58,3,58,3,0,0,0
20,59965,1185301,36,28,1977,9,female,591.0,117,53,72,169,31,87,41,82,0
21,5897,1680250,24,1,1989,1,male,75.0,4,3,0,0,0,0,0,0,0
22,45352,1764046,49,7,1964,7,male,590.0,71,19,1,0,1,0,0,0,0
23,54812,1311383,15,10,1998,9,male,82.0,98,80,18,2,10,1,8,1,0
24,96450,1956844,108,8,1905,3,female,1326.0,1233,506,163,180,143,111,20,69,0
25,71170,1959957,21,23,1992,12,male,804.0,190,160,0,6,0,3,0,3,1
26,23686,1848028,55,3,1958,10,male,784.0,30,16,2,28,0,16,2,12,1
27,86541,1725028,18,2,1995,6,male,925.0,366,170,37,102,18,64,19,38,1
28,25826,1880443,17,17,1996,9,male,317.0,32,3,6,0,6,0,0,0,0
29,65931,1597662,66,27,1947,7,female,234.0,145,41,89,1,0,0,89,1,0
30,8143,1701764,49,2,1964,5,male,263.0,6,4,2,13,1,12,1,1,1
31,59244,1379637,21,2,1992,11,male,225.0,116,46,0,0,0,0,0,0,0
32,68773,1876592,56,18,1957,3,male,714.0,163,100,39,49,39,30,0,19,0
33,68515,2039758,67,16,1946,5,female,1646.0,168,36,6,78,6,48,0,30,0
34,76214,1807838,21,1,1992,9,male,419.0,230,186,0,2,0,2,0,0,0
35,54043,1242957,60,4,1953,11,male,2051.0,97,20,72,162,1,76,71,86,1
36,17670,1009332,13,23,2000,2,female,298.0,21,10,0,1,0,1,0,0,1
37,89755,1525115,37,1,1976,7,male,803.0,460,403,188,163,176,88,12,75,1
38,88103,2189292,93,18,1920,5,male,829.0,392,292,2465,903,2465,738,0,165,0
39,48057,1137806,13,7,2000,3,male,174.0,77,71,70,0,6,0,64,0,1
40,3982,2053592,24,5,1989,6,male,830.0,2,1,0,2,0,1,0,1,0
41,25879,1892074,15,10,1998,11,male,176.0,33,26,8,4,0,0,8,4,1
42,5157,2185734,32,1,1981,12,male,192.0,3,3,0,0,0,0,0,0,1
