age,gender,tenure,friend_count,friendships_initiated,likes,likes_received,mobile_likes,mobile_likes_received,www_likes,www_likes_received
14,male,266,0,0,0,0,0,0,0,0
14,female,6,0,0,0,0,0,0,0,0
14,male,13,0,0,0,0,0,0,0,0
14,female,93,0,0,0,0,0,0,0,0
14,male,82,0,0,0,0,0,0,0,0
14,male,15,0,0,0,0,0,0,0,0
13,male,12,0,0,0,0,0,0,0,0
13,female,0,0,0,0,0,0,0,0,0
13,male,81,0,0,0,0,0,0,0,0
13,male,171,0,0,0,0,0,0,0,0
13,male,98,0,0,0,0,0,0,0,0
13,male,55,0,0,0,0,0,0,0,0
13,male,106,0,0,0,0,0,0,0,0
13,male,61,0,0,0,0,0,0,0,0
13,female,0,0,0,0,0,0,0,0,0
13,female,16,0,0,0,0,0,0,0,0
13,female,34,0,0,0,0,0,0,0,0
13,female,25,0,0,0,0,0,0,0,0
13,female,4,0,0,0,0,0,0,0,0
13,male,9,0,0,0,0,0,0,0,0
13,female,9,0,0,0,0,0,0,0,0
13,female,10,0,0,0,0,0,0,0,0
13,male,0,0,0,0,0,0,0,0,0
15,male,98,0,0,0,0,0,0,0,0
15,male,100,0,0,0,0,0,0,0,0
15,male,28,0,0,0,0,0,0,0,0
15,male,52,0,0,0,0,0,0,0,0
15,male,0,0,0,0,0,0,0,0,0
15,male,24,0,0,0,0,0,0,0,0
15,male,41,0,0,0,0,0,0,0,0
15,male,17,0,0,0,0,0,0,0,0
14,male,165,0,0,0,0,0,0,0,0
14,male,15,0,0,0,0,0,0,0,0
14,female,578,0,0,0,0,0,0,0,0
14,male,478,0,0,0,0,0,0,0,0
14,male,170,0,0,0,0,0,0,0,0
14,male,266,0,0,0,0,0,0,0,0
14,male,227,0,0,0,0,0,0,0,0
14,male,13,0,0,0,0,0,0,0,0
14,male,111,0,0,0,1,0,0,0,1
14,female,201,0,0,0,0,0,0,0,0
14,male,271,0,0,0,0,0,0,0,0
14,female,145,0,0,0,0,0,0,0,0
14,male,23,0,0,0,0,0,0,0,0
14,female,21,0,0,0,0,0,0,0,0
14,male,0,0,0,0,0,0,0,0,0
14,male,258,0,0,0,0,0,0,0,0
14,female,250,0,0,0,0,0,0,0,0
14,female,22,0,0,0,0,0,0,0,0
14,male,30,0,0,0,0,0,0,0,0
14,male,242,0,0,0,0,0,0,0,0
14,female,11,0,0,0,0,0,0,0,0
14,male,0,0,0,0,0,0,0,0,0
14,female,67,0,0,0,0,0,0,0,0
14,male,0,0,0,0,0,0,0,0,0
14,male,93,0,0,0,0,0,0,0,0
14,male,18,0,0,0,0,0,0,0,0
14,male,12,0,0,0,0,0,0,0,0
14,male,6,0,0,0,0,0,0,0,0
14,male,178,0,0,0,0,0,0,0,0
14,male,24,0,0,0,0,0,0,0,0
14,male,14,0,0,0,0,0,0,0,0
14,male,214,0,0,0,0,0,0,0,0
14,male,84,0,0,0,0,0,0,0,0
14,female,27,0,0,0,0,0,0,0,0
14,female,7,0,0,0,0,0,0,0,0
14,female,4,0,0,0,0,0,0,0,0
16,male,20,0,0,0,0,0,0,0,0
16,female,256,0,0,0,0,0,0,0,0
16,male,34,0,0,0,0,0,0,0,0
16,female,22,0,0,0,0,0,0,0,0
16,male,30,0,0,0,0,0,0,0,0
16,male,17,0,0,0,0,0,0,0,0
15,male,340,0,0,0,0,0,0,0,0
15,male,338,0,0,0,0,0,0,0,0
15,male,279,0,0,0,0,0,0,0,0
15,male,179,0,0,0,0,0,0,0,0
15,male,25,0,0,0,0,0,0,0,0
15,male,10,0,0,0,0,0,0,0,0
15,male,6,0,0,0,0,0,0,0,0
15,male,503,0,0,0,0,0,0,0,0
15,male,316,0,0,0,0,0,0,0,0
15,male,90,0,0,0,0,0,0,0,0
15,male,221,0,0,0,0,0,0,0,0
15,female,3,0,0,0,0,0,0,0,0
15,male,282,0,0,0,0,0,0,0,0
15,female,193,0,0,0,0,0,0,0,0
15,male,45,0,0,0,0,0,0,0,0
15,male,24,0,0,0,0,0,0,0,0
15,male,9,0,0,0,0,0,0,0,0
15,female,547,0,0,0,0,0,0,0,0
15,male,23,0,0,0,0,0,0,0,0
15,male,7,0,0,0,0,0,0,0,0
15,male,3,0,0,0,0,0,0,0,0
15,male,347,0,0,0,0,0,0,0,0
15,male,89,0,0,0,0,0,0,0,0
15,female,56,0,0,0,0,0,0,0,0
15,male,21,0,0,0,0,0,0,0,0
15,male,63,0,0,0,0,0,0,0,0
15,female,27,0,0,0,0,0,0,0,0
15,male,14,0,0,0,0,0,0,0,0
15,male,73,0,0,0,0,0,0,0,0
15,female,20,0,0,0,0,0,0,0,0
15,male,4,0,0,0,0,0,0,0,0
15,male,661,0,0,0,0,0,0,0,0
15,female,242,0,0,0,0,0,0,0,0
15,male,223,0,0,0,0,0,0,0,0
15,male,22,0,0,0,0,0,0,0,0
15,female,11,0,0,0,0,0,0,0,0
15,male,37,0,0,0,0,0,0,0,0
15,male,18,0,0,0,0,0,0,0,0
15,male,27,0,0,0,0,0,0,0,0
17,male,21,0,0,0,0,0,0,0,0
17,female,26,0,0,0,0,0,0,0,0
17,male,12,0,0,0,0,0,0,0,0
17,male,764,0,0,0,0,0,0,0,0
17,male,22,0,0,0,0,0,0,0,0
16,female,332,0,0,0,0,0,0,0,0
16,male,290,0,0,0,0,0,0,0,0
16,male,29,0,0,0,0,0,0,0,0
16,female,71,0,0,0,0,0,0,0,0
16,male,0,0,0,0,0,0,0,0,0
16,male,108,0,0,0,0,0,0,0,0
16,male,29,0,0,0,0,0,0,0,0
16,male,264,0,0,0,0,0,0,0,0
16,male,363,0,0,0,0,0,0,0,0
16,male,152,0,0,0,0,0,0,0,0
16,male,312,0,0,0,0,0,0,0,0
16,female,66,0,0,0,0,0,0,0,0
16,female,31,0,0,0,0,0,0,0,0
16,male,21,0,0,0,0,0,0,0,0
16,female,374,0,0,0,0,0,0,0,0
16,male,223,0,0,0,0,0,0,0,0
16,male,2,0,0,0,0,0,0,0,0
16,male,163,0,0,0,0,0,0,0,0
16,male,142,0,0,0,0,0,0,0,0
16,male,9,0,0,0,0,0,0,0,0
16,male,147,0,0,0,0,0,0,0,0
16,female,52,0,0,0,0,0,0,0,0
16,male,5,0,0,0,0,0,0,0,0
16,male,589,0,0,0,0,0,0,0,0
16,male,465,0,0,0,0,0,0,0,0
16,female,390,0,0,0,0,0,0,0,0
16,female,150,0,0,0,0,0,0,0,0
16,female,192,0,0,0,0,0,0,0,0
16,male,53,0,0,0,0,0,0,0,0
16,male,5,0,0,0,0,0,0,0,0
16,male,245,0,0,0,0,0,0,0,0
16,female,145,0,0,0,0,0,0,0,0
16,female,498,0,0,0,0,0,0,0,0
16,male,81,0,0,0,0,0,0,0,0
16,female,24,0,0,0,0,0,0,0,0
16,male,3,0,0,0,0,0,0,0,0
18,male,587,0,0,0,0,0,0,0,0
18,male,577,0,0,0,0,0,0,0,0
18,male,80,0,0,0,0,0,0,0,0
18,female,15,0,0,0,0,0,0,0,0
18,male,715,0,0,0,0,0,0,0,0
18,male,64,0,0,0,0,0,0,0,0
18,female,235,0,0,0,0,0,0,0,0
18,male,201,0,0,0,0,0,0,0,0
18,male,25,0,0,0,0,0,0,0,0
18,female,19,0,0,0,0,0,0,0,0
18,female,0,0,0,0,0,0,0,0,0
18,male,0,0,0,0,0,0,0,0,0
17,female,531,0,0,0,0,0,0,0,0
17,male,465,0,0,0,0,0,0,0,0
17,male,2,0,0,0,0,0,0,0,0
17,male,146,0,0,0,0,0,0,0,0
17,male,81,0,0,0,0,0,0,0,0
17,male,13,0,0,0,0,0,0,0,0
17,male,410,0,0,0,0,0,0,0,0
17,male,364,0,0,0,0,0,0,0,0
17,male,331,0,0,0,0,0,0,0,0
17,female,14,0,0,0,0,0,0,0,0
17,male,12,0,0,0,0,0,0,0,0
17,male,0,0,0,0,0,0,0,0,0
17,male,36,0,0,0,0,0,0,0,0
17,male,175,0,0,0,0,0,0,0,0
17,male,379,0,0,0,0,0,0,0,0
17,female,172,0,0,0,0,0,0,0,0
17,male,14,0,0,0,0,0,0,0,0
17,male,671,0,0,0,0,0,0,0,0
17,male,545,0,0,0,0,0,0,0,0
17,male,388,0,0,0,0,0,0,0,0
17,male,112,0,0,0,0,0,0,0,0
17,male,166,0,0,0,0,0,0,0,0
17,male,14,0,0,0,0,0,0,0,0
17,female,14,0,0,0,0,0,0,0,0
17,male,14,0,0,0,0,0,0,0,0
17,male,29,0,0,0,0,0,0,0,0
17,female,374,0,0,0,0,0,0,0,0
17,male,51,0,0,0,0,0,0,0,0
17,male,7,0,0,0,0,0,0,0,0
19,male,152,0,0,0,0,0,0,0,0
19,male,116,0,0,0,0,0,0,0,0
19,male,33,0,0,0,0,0,0,0,0
19,female,20,0,0,0,0,0,0,0,0
19,female,39,0,0,0,0,0,0,0,0
19,male,1,0,0,0,0,0,0,0,0
19,male,304,0,0,0,0,0,0,0,0
19,male,243,0,0,0,0,0,0,0,0
19,male,223,0,0,0,0,0,0,0,0
19,male,18,0,0,0,0,0,0,0,0
19,female,10,0,0,0,0,0,0,0,0
18,male,184,0,0,0,0,0,0,0,0
18,male,23,0,0,0,0,0,0,0,0
18,male,13,0,0,0,0,0,0,0,0
18,male,5,0,0,0,0,0,0,0,0
18,male,13,0,0,0,0,0,0,0,0
18,male,532,0,0,0,0,0,0,0,0
18,male,288,0,0,0,0,0,0,0,0
18,male,112,0,0,0,0,0,0,0,0
18,female,13,0,0,0,0,0,0,0,0
18,male,6,0,0,0,0,0,0,0,0
18,female,0,0,0,0,0,0,0,0,0
18,female,368,0,0,0,0,0,0,0,0
18,male,6,0,0,0,2,0,0,0,2
18,female,10,0,0,0,0,0,0,0,0
18,male,213,0,0,0,0,0,0,0,0
18,male,218,0,0,0,0,0,0,0,0
18,male,119,0,0,0,0,0,0,0,0
18,male,20,0,0,0,0,0,0,0,0
18,male,23,0,0,0,0,0,0,0,0
18,male,969,0,0,0,0,0,0,0,0
18,male,185,0,0,0,0,0,0,0,0
18,female,105,0,0,0,0,0,0,0,0
18,female,27,0,0,0,0,0,0,0,0
18,male,290,0,0,0,0,0,0,0,0
18,female,244,0,0,0,0,0,0,0,0
18,male,187,0,0,0,0,0,0,0,0
18,male,38,0,0,0,0,0,0,0,0
18,female,21,0,0,0,0,0,0,0,0
18,male,7,0,0,0,0,0,0,0,0
18,male,582,0,0,0,0,0,0,0,0
18,male,380,0,0,0,3,0,3,0,0
18,male,18,0,0,0,0,0,0,0,0
18,male,14,0,0,0,0,0,0,0,0
18,male,16,0,0,0,0,0,0,0,0
18,male,1,0,0,0,0,0,0,0,0
18,female,336,0,0,0,0,0,0,0,0
18,male,612,0,0,0,0,0,0,0,0
18,male,100,0,0,0,0,0,0,0,0
18,male,15,0,0,0,1,0,0,0,1
18,male,24,0,0,0,0,0,0,0,0
18,female,26,0,0,0,0,0,0,0,0
18,male,22,0,0,0,0,0,0,0,0
18,male,11,0,0,0,0,0,0,0,0
18,male,13,0,0,0,0,0,0,0,0
18,male,184,0,0,0,0,0,0,0,0
18,male,80,0,0,0,0,0,0,0,0
18,female,22,0,0,0,0,0,0,0,0
18,male,6,0,0,0,0,0,0,0,0
18,female,19,0,0,0,0,0,0,0,0
18,male,1,0,0,0,0,0,0,0,0
18,female,510,0,0,0,0,0,0,0,0
18,male,445,0,0,0,0,0,0,0,0
18,male,7,0,0,0,0,0,0,0,0
20,male,294,0,0,0,0,0,0,0,0
20,male,159,0,0,0,0,0,0,0,0
20,male,24,0,0,0,0,0,0,0,0
20,female,96,0,0,0,0,0,0,0,0
19,male,341,0,0,0,0,0,0,0,0
19,male,214,0,0,0,0,0,0,0,0
19,male,252,0,0,0,0,0,0,0,0
19,male,212,0,0,0,0,0,0,0,0
19,male,723,0,0,0,0,0,0,0,0
19,male,10,0,0,0,0,0,0,0,0
19,male,14,0,0,0,0,0,0,0,0
19,female,17,0,0,0,0,0,0,0,0
19,male,23,0,0,0,0,0,0,0,0
19,male,520,0,0,0,0,0,0,0,0
19,female,280,0,0,0,0,0,0,0,0
19,female,199,0,0,0,0,0,0,0,0
19,female,48,0,0,0,0,0,0,0,0
19,female,1,0,0,0,0,0,0,0,0
19,male,2,0,0,0,0,0,0,0,0
19,male,0,0,0,0,0,0,0,0,0
19,male,4,0,0,0,0,0,0,0,0
19,male,427,0,0,0,0,0,0,0,0
19,male,263,0,0,0,1,0,1,0,0
19,male,27,0,0,0,0,0,0,0,0
19,male,20,0,0,0,0,0,0,0,0
19,male,298,0,0,0,0,0,0,0,0
19,male,161,0,0,0,0,0,0,0,0
19,male,62,0,0,0,0,0,0,0,0
19,female,612,0,0,0,0,0,0,0,0
19,male,324,0,0,0,0,0,0,0,0
19,female,157,0,0,0,0,0,0,0,0
19,male,0,0,0,0,0,0,0,0,0
19,male,769,0,0,0,0,0,0,0,0
19,male,225,0,0,0,0,0,0,0,0
19,male,0,0,0,0,0,0,0,0,0
19,male,226,0,0,0,0,0,0,0,0
19,male,182,0,0,0,0,0,0,0,0
19,male,16,0,0,0,0,0,0,0,0
19,male,263,0,0,0,0,0,0,0,0
19,male,692,0,0,0,0,0,0,0,0
19,male,242,0,0,0,0,0,0,0,0
19,male,138,0,0,0,0,0,0,0,0
19,female,101,0,0,0,0,0,0,0,0
19,male,4,0,0,0,0,0,0,0,0
21,male,251,0,0,0,0,0,0,0,0
21,male,16,0,0,0,0,0,0,0,0
21,male,1244,0,0,0,0,0,0,0,0
21,male,669,0,0,0,0,0,0,0,0
21,male,11,0,0,0,0,0,0,0,0
20,female,797,0,0,0,0,0,0,0,0
20,male,508,0,0,0,0,0,0,0,0
20,male,27,0,0,0,0,0,0,0,0
20,female,33,0,0,0,0,0,0,0,0
20,male,1610,0,0,0,0,0,0,0,0
20,male,130,0,0,0,0,0,0,0,0
20,male,174,0,0,0,0,0,0,0,0
20,female,42,0,0,0,0,0,0,0,0
20,male,45,0,0,0,0,0,0,0,0
20,male,473,0,0,0,0,0,0,0,0
