INDEX,TICKER,YEAR,QUARTER,BPS,CPS,CPX,CSH,DPS,EBI,EBS,EBT,ENT,EPS,FFO,GPS,GRM,NAV,NDT,NET,OPR,PRE,ROA,ROE,SAL,CAR
1,0,2014,2,9.97,,,,0,-1.473,,,,0.12,,0.45,,697.468,,8.621,-5.399,-5.399,0.69,5.25,64.141,0.008467
2,0,2014,3,10.3068,,,,,12.258,,,,0.27,,0.27,,726.125,,20.606,,16.36,1.5,11.58,66.427,0.005102
3,0,2014,4,10.59,,,,0.01,30.928,,,,0.26,,0.26,,,,19.515,,29.419,1.36,10.56,,0.023569
4,0,2015,1,10.8,,,,0.01,19.199,,,,0.16,,0.16,,761.607,,12.502,,16.205,0.85,6.63,67.297,-0.00112
5,0,2015,2,10.63,,,,0.01,17.29,,,,0.12,,0.12,,753.853,,9.437,,13.878,0.62,4.97,72.466,0.005808
6,0,2015,3,10.6,,,,,26.796,,,,0.23,,0.23,,766.406,,17.548,,25.727,1.11,9.26,71.707,-0.001722
7,0,2015,4,10.81,,,,0.01,27.16,,,,0.27,,0.27,,714.768,,20.035,,26.46,1.23,10.96,74.989,-0.007421
8,0,2016,1,10.97,,,,,33.715,,,,0.4,,0.19,,725.215,,28.386,,38.298,1.73,15.77,81.953,-0.014781
11,1,2014,1,,0.81,504,,,159,,334,,0.2,,0.25,,2937,,41,,74,,,505,-0.058631
12,1,2014,2,,0.94,459,,,32,0.97,230,,0.18,,-0.38,,3520,3933,43,,63,,,390,-0.002766
13,1,2014,3,,1.09,529,,,158,1.53,374,,0.23,,-0.49,20.65,3404,4218,50,,78,,,276,-0.020299
14,1,2014,4,,1.71,533,,,183,1.68,411,,0.24,,1.25,,3713,4358,58,,107,,,953,-0.017129
15,1,2015,1,17.68,1.15,512,,,157,1.62,398,,0.22,,2.6,,4348,4576,55,,75,,,1479,0.027716
16,1,2015,2,17.57,1.23,432,,,121,1.41,345,,0.13,,0.08,,4372,4717,31,,48,,,493,0.01248
17,1,2015,3,16.74,1.11,372,,,148,1.64,401,,0.17,,-0.87,,4164,4864,42,,67,,,545,0.001422
18,1,2015,4,17.52,1.95,399,,,179,1.8,439,,0.26,,0.72,,4345,4903,64,,95,,,753,-0.032281
19,1,2016,1,2.496,1.42,230,,,168,1.74,425,,0.22,,-15.29,,619,4786,53,,87,,,473,0.073882
20,1,2016,2,893.75,1.21,179,,,-36,0.31,77,,0.19,,0.38,,715,4473,47,,76,,,224,-0.058517
21,1,2016,3,3.1032,0.43,79,,0,-108,-0.04,-11,,0.21,,0.25,,782,3890,50,,81,,,100,-0.025606
22,1,2016,4,930,1.03,140,,,10,0.58,142,,0.1,,-0.18,,744,3756,24,,38,,,255,-0.022125
23,1,2017,1,2.4143,0.51,135,,,135,1.04,255,,0.12,,-0.57,,606,3769,32,,45,,,188,-0.022181
24,1,2017,2,2.1804,0.48,119,,,89,,215,,-0.1,,-0.19,,556,3829,-25,,-36,,,327,0.00422
25,1,2017,3,2.1922,0.26,147,,,41,,165,,-0.1,,-0.01,,559,3902,-23,,-28,,,296,-0.023071
26,1,2017,4,1.93,0.48,139,,,33,,151,,-0.12,,-0.29,,491,3933,-31,,-47,,,219,0.024583
27,1,2018,1,1.5556,0.313,136,,,31,0.736,181,,-0.07,,-0.29,,392,4016,-18,,-25,,,224,-0.074145
